,map_file,richness,speciation,time
310,map_500_0.2_1.tif,1517,True,2514.0
311,map_500_0.2_1.tif,1511,True,2515.0
312,map_500_0.2_1.tif,1513,True,2516.0
313,map_500_0.2_1.tif,1504,True,2517.0
314,map_500_0.2_1.tif,1505,True,2518.0
315,map_500_0.2_1.tif,1501,True,2519.0
316,map_500_0.2_1.tif,1504,True,2520.0
317,map_500_0.2_1.tif,1502,True,2521.0
318,map_500_0.2_1.tif,1498,True,2522.0
319,map_500_0.2_1.tif,1493,True,2523.0
320,map_500_0.2_1.tif,1490,True,2524.0
321,map_500_0.2_1.tif,1481,True,2525.0
322,map_500_0.2_1.tif,1493,True,2526.0
323,map_500_0.2_1.tif,1476,True,2527.0
324,map_500_0.2_1.tif,1468,True,2528.0
325,map_500_0.2_1.tif,1469,True,2529.0
326,map_500_0.2_1.tif,1474,True,2530.0
327,map_500_0.2_1.tif,1481,True,2531.0
328,map_500_0.2_1.tif,1481,True,2532.0
329,map_500_0.2_1.tif,1495,True,2533.0
330,map_500_0.2_1.tif,1503,True,2534.0
331,map_500_0.2_1.tif,1501,True,2535.0
332,map_500_0.2_1.tif,1495,True,2536.0
333,map_500_0.2_1.tif,1484,True,2537.0
334,map_500_0.2_1.tif,1486,True,2538.0
335,map_500_0.2_1.tif,1504,True,2539.0
336,map_500_0.2_1.tif,1504,True,2540.0
337,map_500_0.2_1.tif,1498,True,2541.0
338,map_500_0.2_1.tif,1499,True,2542.0
339,map_500_0.2_1.tif,1495,True,2543.0
340,map_500_0.2_1.tif,1494,True,2544.0
341,map_500_0.2_1.tif,1485,True,2545.0
342,map_500_0.2_1.tif,1500,True,2546.0
343,map_500_0.2_1.tif,1492,True,2547.0
344,map_500_0.2_1.tif,1490,True,2548.0
345,map_500_0.2_1.tif,1508,True,2549.0
346,map_500_0.2_1.tif,1511,True,2550.0
347,map_500_0.2_1.tif,1510,True,2551.0
348,map_500_0.2_1.tif,1528,True,2552.0
349,map_500_0.2_1.tif,1520,True,2553.0
350,map_500_0.2_1.tif,1534,True,2554.0
351,map_500_0.2_1.tif,1547,True,2555.0
352,map_500_0.2_1.tif,1539,True,2556.0
353,map_500_0.2_1.tif,1524,True,2557.0
354,map_500_0.2_1.tif,1528,True,2558.0
355,map_500_0.2_1.tif,1514,True,2559.0
356,map_500_0.2_1.tif,1513,True,2560.0
357,map_500_0.2_1.tif,1512,True,2561.0
358,map_500_0.2_1.tif,1512,True,2562.0
359,map_500_0.2_1.tif,1514,True,2563.0
360,map_500_0.2_1.tif,1522,True,2564.0
361,map_500_0.2_1.tif,1535,True,2565.0
362,map_500_0.2_1.tif,1533,True,2566.0
363,map_500_0.2_1.tif,1524,True,2567.0
364,map_500_0.2_1.tif,1524,True,2568.0
365,map_500_0.2_1.tif,1514,True,2569.0
366,map_500_0.2_1.tif,1507,True,2570.0
367,map_500_0.2_1.tif,1508,True,2571.0
368,map_500_0.2_1.tif,1510,True,2572.0
369,map_500_0.2_1.tif,1508,True,2573.0
370,map_500_0.2_1.tif,1504,True,2574.0
371,map_500_0.2_1.tif,1509,True,2575.0
372,map_500_0.2_1.tif,1493,True,2576.0
373,map_500_0.2_1.tif,1497,True,2577.0
374,map_500_0.2_1.tif,1511,True,2578.0
375,map_500_0.2_1.tif,1503,True,2579.0
376,map_500_0.2_1.tif,1505,True,2580.0
377,map_500_0.2_1.tif,1513,True,2581.0
378,map_500_0.2_1.tif,1512,True,2582.0
379,map_500_0.2_1.tif,1502,True,2583.0
380,map_500_0.2_1.tif,1503,True,2584.0
381,map_500_0.2_1.tif,1505,True,2585.0
382,map_500_0.2_1.tif,1507,True,2586.0
383,map_500_0.2_1.tif,1508,True,2587.0
384,map_500_0.2_1.tif,1507,True,2588.0
385,map_500_0.2_1.tif,1509,True,2589.0
386,map_500_0.2_1.tif,1506,True,2590.0
387,map_500_0.2_1.tif,1509,True,2591.0
388,map_500_0.2_1.tif,1509,True,2592.0
389,map_500_0.2_1.tif,1500,True,2593.0
